,Logan moral (all),Logan moral (US),Joe univ.,Joe moral,blind_L0,blind_L1,depth0,depth1,depth2,depth0_v2,depth1_v2,depth2_v2
Logan moral (all),1.0,0.8161,0.4597,0.4836,0.1551,0.4732,0.1551,0.4459,0.4973,0.3392,0.2597,0.4595
Logan moral (US),0.8161,1.0,0.6093,0.6364,0.2309,0.5631,0.2309,0.5454,0.5151,0.5006,0.2946,0.5266
Joe univ.,0.4597,0.6093,1.0,0.9352,0.4295,0.8213,0.4295,0.8156,0.8424,0.8489,0.7545,0.7563
Joe moral,0.4836,0.6364,0.9352,1.0,0.2101,0.7779,0.2101,0.7375,0.6871,0.798,0.6739,0.5679
blind_L0,0.1551,0.2309,0.4295,0.2101,1.0,0.6006,1.0,0.6593,0.6839,0.5523,0.7759,0.6079
blind_L1,0.4732,0.5631,0.8213,0.7779,0.6006,1.0,0.6006,0.7135,0.8133,0.9501,0.7627,0.6858
depth0,0.1551,0.2309,0.4295,0.2101,1.0,0.6006,1.0,0.6593,0.6839,0.5523,0.7759,0.6079
depth1,0.4459,0.5454,0.8156,0.7375,0.6593,0.7135,0.6593,1.0,0.8487,0.6287,0.5965,0.5905
depth2,0.4973,0.5151,0.8424,0.6871,0.6839,0.8133,0.6839,0.8487,1.0,0.7142,0.7604,0.756
depth0_v2,0.3392,0.5006,0.8489,0.798,0.5523,0.9501,0.5523,0.6287,0.7142,1.0,0.7063,0.6477
depth1_v2,0.2597,0.2946,0.7545,0.6739,0.7759,0.7627,0.7759,0.5965,0.7604,0.7063,1.0,0.5901
depth2_v2,0.4595,0.5266,0.7563,0.5679,0.6079,0.6858,0.6079,0.5905,0.756,0.6477,0.5901,1.0
