"context","n","mean","sd","se","error","CI.left","CI.right","moral","name"
"Maybe 1",43,35.7441860465116,24.4473126610169,3.72818022927926,7.30709897726162,28.43708706925,43.0512850237733,34.1538461538462,"32"
"Maybe 2",43,15.1860465116279,22.0618781460491,3.36440487612462,6.5941123866152,8.59193412501271,21.7801588982431,35.025641025641,"33"
"Maybe 3",43,22.4418604651163,21.5807479520647,3.29103320939815,6.45030656234563,15.9915539027706,28.8921670274619,32.5128205128205,"31"
"Maybe 3 Bad",43,-11.2325581395349,26.0976528859829,3.97985475414897,7.8003719818325,-19.0329301213674,-3.43218615770239,-4.84615384615385,"18"
"Maybe 3 Badder",43,-13.5581395348837,29.0338901528651,4.42762673950582,8.67798894641791,-22.2361284813016,-4.88015058846581,-19.7435897435897,"12"
"Maybe 4 Bad",43,-13.2093023255814,26.7203847095335,4.07482046694105,7.98650135867113,-21.1958036842525,-5.22280096691026,-22.025641025641,"9"
"Maybe 5 Bad",43,-31.0697674418605,28.1952337654343,4.29973283942231,8.42732150841187,-39.4970889502723,-22.6424459334486,-28.974358974359,"2"
"New Maybe 1",43,0.302325581395349,25.6222883663729,3.9073623445216,7.65828946981031,-7.35596388841496,7.96061505120566,13.1282051282051,"24"
"New Maybe 2",43,17.4186046511628,19.8293103860824,3.02394148455904,5.9268164010923,11.4917882500705,23.3454210522551,30.5897435897436,"28"
"New Maybe 3",43,-3.7906976744186,26.2329837269028,4.00049251391116,7.84082124768797,-11.6315189221066,4.05012357326937,8.17948717948718,"21"
"New Maybe 4",43,-12.3953488372093,25.7590848836305,3.92822361782986,7.69917681416616,-20.0945256513755,-4.69617202304314,-0.58974358974359,"19"
"New Maybe 5",43,-32.046511627907,22.950208514845,3.49987398734903,6.85962696563268,-38.9061385935397,-25.1868846622743,-10.1794871794872,"15"
"New Maybe 6",43,-12.2325581395349,24.8594498744847,3.79103056511396,7.43028337191389,-19.6628415114488,-4.802274767621,17.4615384615385,"25"
"New Yes 10",43,-23.0232558139535,25.4478817268821,3.88076558134274,7.60616077187442,-30.6294165858279,-15.4170950420791,-21.7948717948718,"10"
"New Yes 7",43,-19.6046511627907,26.8506801677472,4.09469033803947,8.0254455904015,-27.6300967531922,-11.5792055723892,-22.7105263157895,"8"
"New Yes 9",43,10.3023255813953,23.3794118665292,3.56532688486283,6.98791228744354,3.31441329395181,17.2902378688389,9.64102564102564,"22"
"No 1",43,15,29.1441409614515,4.44443983019325,8.71094199863408,6.28905800136592,23.7109419986341,19.1025641025641,"26"
"No 2",43,23.8372093023256,24.5307680781252,3.7409070610748,7.33204310921818,16.5051661931074,31.1692524115438,36.7948717948718,"35"
"No 3",43,11.3255813953488,24.5596658599813,3.74531393149363,7.34068041652363,3.98490097882521,18.6662618118725,26.5128205128205,"27"
"No A",43,39.6976744186046,23.9518712696951,3.65262612541909,7.15901565481149,32.5386587637932,46.8566900734161,37.8461538461538,"36"
"No B",43,43.0232558139535,19.1080740502331,2.91395397447009,5.71124484256873,37.3120109713848,48.7345006565222,39.7692307692308,"38"
"No C",43,40.4418604651163,19.7523986796316,3.01221255928345,5.90382812997479,34.5380323351415,46.3456885950911,35.4871794871795,"34"
"No D",43,28.3488372093023,24.0018686980134,3.66025066175795,7.17395947143447,21.1748777378679,35.5227966807368,39.6410256410256,"37"
"Yes 1",43,-28.953488372093,21.4397866553574,3.26953681317806,6.40817439995687,-35.3616627720499,-22.5453139721362,-20.7948717948718,"11"
"Yes 10 Bad",43,-32.9302325581395,24.5253953405709,3.74008772627898,7.3304372425271,-40.2606698006666,-25.5997953156124,-35.4210526315789,"1"
"Yes 2",43,-33.046511627907,19.7037022003143,3.00478641580733,5.88927315621756,-38.9357847841245,-27.1572384716894,-16.1282051282051,"13"
"Yes 3",43,-18.1627906976744,25.4660654060393,3.8835385664176,7.61159572275081,-25.7743864204252,-10.5511949749236,2.66666666666667,"20"
"Yes 4",43,-36.3953488372093,22.03907734531,3.36092778660948,6.5872974163945,-42.9826462536038,-29.8080514208148,-27.7435897435897,"3"
"Yes B",43,-7.06976744186047,27.4333784778057,4.18355099725862,8.19960928211352,-15.269376723974,1.12984184025305,31.2820512820513,"30"
"Yes B Bad",43,-11.1395348837209,27.3204801911268,4.16633416994709,8.16586492065487,-19.3053998043758,-2.97366996306606,-10.7435897435897,"14"
"Yes B Badder",43,-11.6511627906977,26.0940457730533,3.97930467458418,7.79929384569687,-19.4504566363945,-3.85186894500081,-23.1794871794872,"7"
"Yes C",43,8.58139534883721,26.9481270293057,4.10955084511054,8.0545716490528,0.526823699784408,16.63596699789,31,"29"
"Yes C Bad",43,8.53488372093023,25.9388923261038,3.9556439957422,7.75291976731681,0.781963953613421,16.287803488247,-4.8974358974359,"17"
"Yes C Badder",43,4,27.3112570546425,4.16492765481925,8.1631082016606,-4.1631082016606,12.1631082016606,-25.2051282051282,"5"
"Yes D",43,1.02325581395349,29.7997190559568,4.54441455234668,8.90688885341921,-7.88363303946572,9.9301446673727,11.6666666666667,"23"
"Yes D Bad",43,0.627906976744186,28.0492961084876,4.27747755538025,8.38370195322372,-7.75579497647953,9.01160892996791,-7.33333333333333,"16"
"Yes D Badder",43,-2.34883720930233,27.0104774388175,4.11905919342074,8.07320766929325,-10.4220448785956,5.72437045999093,-24.3076923076923,"6"
"Yes E",43,-33.4883720930233,24.5922675546054,3.75028564331422,7.35042479263351,-40.8387968856568,-26.1379473003898,-25.2307692307692,"4"
"Yes F",43,-7.51162790697674,25.2966891236809,3.85770892550969,7.56097055683769,-15.0725984638144,0.0493426498609475,41.0769230769231,"39"
