map,n_obstacles,n_water_adjacent_traversable,bottleneck_size
10esque,38,2,1
7esque,14,1,1
9esque,29,7,2
debug_1agent,21,12,4
debug_2agent,21,12,6
maybe_4,22,9,9
maybe_5,28,5,5
maybe_6,32,14,8
new_maybe_1,23,4,3
new_maybe_2,10,3,3
new_maybe_3,36,7,3
new_maybe_4,55,5,2
new_maybe_5,18,2,1
new_maybe_6,29,4,2
no_line_1,21,12,12
no_line_2,38,8,8
no_line_3,33,7,7
no_line_A,18,23,13
no_line_B,37,67,10
no_line_C,30,25,7
no_line_D,15,21,13
yes_line_10,39,2,1
yes_line_7,12,1,1
yes_line_8,28,3,1
yes_line_9,25,3,2
yes_line_A,40,23,1
yes_line_B,32,5,2
yes_line_C,30,8,2
yes_line_D,29,9,3
yes_line_E,17,2,2
yes_line_F,32,6,2
