run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,20,19,19,23,23,25,27,29,1.4,2.0,0.06666666666666667,-0.4,-0.08489537925021806
2,0.0001,20,17,25,24,28,22,34,39,0.8666666666666667,4.0,0.06666666666666667,-0.13333333333333333,-0.024019910480012507
3,0.0001,16,19,19,23,22,27,29,31,1.3777777777777778,1.0,0.0,-0.28888888888888886,-0.04838709677419373
4,0.0001,19,19,22,25,20,29,31,28,1.2222222222222223,4.0,0.044444444444444446,-0.35555555555555557,-0.06508022731071383
5,0.0001,18,17,21,26,31,26,36,36,0.8222222222222222,2.0,0.022222222222222223,-0.2,-0.019473322121999814
6,0.0001,16,21,21,23,22,27,34,39,1.0,1.0,0.0,-0.1111111111111111,-0.018492769744160142
7,0.0001,18,17,19,24,26,31,30,34,1.0888888888888888,2.0,0.022222222222222223,-0.24444444444444444,-0.03179202463932573
8,0.0001,21,17,20,21,29,27,30,30,1.1777777777777778,3.0,0.08888888888888889,-0.3333333333333333,-0.05973945409429282
9,0.0001,20,23,20,32,26,28,27,31,0.9111111111111111,5.0,0.17777777777777778,-0.35555555555555557,-0.07575580489325229
10,0.0001,18,21,24,22,21,26,29,31,1.2444444444444445,2.0,0.022222222222222223,-0.3333333333333333,-0.07300067204301075
11,0.0001,16,19,22,23,29,29,27,33,1.1111111111111112,2.0,0.0,-0.24444444444444444,-0.04688009123493009
12,0.0001,20,21,19,26,22,26,31,30,1.1777777777777778,4.0,0.06666666666666667,-0.35555555555555557,-0.07127791563275432
13,0.0001,18,21,22,32,22,24,28,29,1.1555555555555554,4.0,0.08888888888888889,-0.3111111111111111,-0.06858953258722855
14,0.0001,18,18,20,25,25,25,25,35,1.2666666666666666,0.0,0.022222222222222223,-0.24444444444444444,-0.058752744468839824
15,0.0001,18,21,21,23,24,23,35,33,1.1111111111111112,2.0,0.022222222222222223,-0.24444444444444444,-0.05066797002280876
16,0.0001,20,18,21,24,23,24,30,28,1.3333333333333333,3.0,0.06666666666666667,-0.35555555555555557,-0.08025909402882636
17,0.0001,19,23,19,19,23,31,28,42,0.9777777777777777,3.0,0.08888888888888889,-0.1111111111111111,-0.017394054395952097
18,0.0001,19,20,23,34,26,26,24,24,1.1555555555555554,6.0,0.15555555555555556,-0.28888888888888886,-0.07751810401579995
19,0.0001,20,21,18,22,31,32,26,31,1.0444444444444445,5.0,0.06666666666666667,-0.3111111111111111,-0.053061306371368966
20,0.0001,18,22,22,23,23,27,35,29,1.0888888888888888,1.0,0.044444444444444446,-0.24444444444444444,-0.06319905981520524
21,0.0001,16,19,21,25,28,31,29,29,1.1111111111111112,2.0,0.0,-0.28888888888888886,-0.05445584881068766
22,0.0001,20,19,21,24,24,23,37,41,0.8666666666666667,3.0,0.06666666666666667,-0.13333333333333333,-0.020431393733600922
23,0.0001,18,19,24,24,23,35,28,32,1.0,4.0,0.022222222222222223,-0.24444444444444444,-0.04681789289686966
24,0.0001,16,22,19,24,28,31,27,35,1.0222222222222221,3.0,0.022222222222222223,-0.2,-0.03692909613542006
25,0.0001,19,17,22,21,24,27,35,35,1.0666666666666667,2.0,0.044444444444444446,-0.2222222222222222,-0.028104838709677393
26,0.0001,18,19,19,23,24,27,45,34,0.8666666666666667,1.0,0.1111111111111111,-0.022222222222222223,0.0034920512424756467
27,0.0001,18,18,21,26,29,29,34,32,0.9111111111111111,1.0,0.022222222222222223,-0.26666666666666666,-0.04314710924107845
28,0.0001,18,19,22,23,21,28,30,32,1.2222222222222223,2.0,0.022222222222222223,-0.3111111111111111,-0.056012869797760434
29,0.0001,17,19,23,21,25,25,31,27,1.3333333333333333,2.0,0.0,-0.3111111111111111,-0.06829100892244355
30,0.0001,18,23,31,31,21,26,27,34,0.8222222222222222,7.0,0.24444444444444444,-0.26666666666666666,-0.05857284818835051
31,0.0001,17,19,22,23,28,31,37,38,0.7333333333333333,0.0,0.0,-0.15555555555555556,-0.012959489872468088
32,0.0001,20,18,24,23,25,25,29,25,1.3111111111111111,3.0,0.06666666666666667,-0.37777777777777777,-0.09726489161973051
33,0.0001,18,18,23,22,26,30,26,29,1.2444444444444445,3.0,0.022222222222222223,-0.35555555555555557,-0.06909442204301075
34,0.0001,17,20,24,21,23,25,26,36,1.2444444444444445,2.0,0.0,-0.2,-0.05477150537634423
35,0.0001,20,22,19,19,24,25,30,32,1.2666666666666666,4.0,0.08888888888888889,-0.3333333333333333,-0.06267944603952036
36,0.0001,18,23,19,24,24,27,34,45,0.7555555555555555,1.0,0.06666666666666667,-0.022222222222222223,-0.008139885438649408
37,0.0001,20,19,22,20,30,23,26,31,1.2666666666666666,4.0,0.06666666666666667,-0.35555555555555557,-0.0692239486573214
38,0.0001,17,20,20,23,29,25,35,28,1.1333333333333333,3.0,0.0,-0.2222222222222222,-0.04435483870967749
39,0.0001,18,17,23,22,26,28,29,30,1.2222222222222223,2.0,0.022222222222222223,-0.3333333333333333,-0.06119421694801952
40,0.0001,18,18,21,24,22,26,29,32,1.288888888888889,1.0,0.022222222222222223,-0.3111111111111111,-0.057512733446519526
41,0.0001,17,21,22,28,24,24,34,35,0.9555555555555556,2.0,0.0,-0.2222222222222222,-0.041915814319433586
42,0.0001,19,17,21,24,21,28,27,31,1.3333333333333333,3.0,0.044444444444444446,-0.3111111111111111,-0.060312285518188125
43,0.0001,17,23,23,23,23,23,30,35,1.1333333333333333,0.0,0.044444444444444446,-0.2222222222222222,-0.06719747830358602
44,0.0001,17,21,21,23,26,26,25,34,1.2222222222222223,2.0,0.0,-0.24444444444444444,-0.06508022731071383
45,0.0001,16,21,21,23,23,27,29,38,1.1111111111111112,0.0,0.0,-0.13333333333333333,-0.03551645487129362
46,0.0001,18,17,21,25,23,26,29,41,1.0666666666666667,2.0,0.022222222222222223,-0.08888888888888889,-0.01935483870967758
47,0.0001,17,17,25,22,27,29,27,35,1.0888888888888888,2.0,0.0,-0.2222222222222222,-0.041842275895607184
48,0.0001,16,19,23,21,21,29,29,35,1.2222222222222223,2.0,0.0,-0.2,-0.03399214440915932
49,0.0001,18,18,26,22,29,32,32,35,0.8,1.0,0.044444444444444446,-0.24444444444444444,-0.03845861229458314
50,0.0001,16,20,20,26,24,24,31,34,1.1777777777777778,2.0,0.0,-0.2222222222222222,-0.041790736145574936
