run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,14,30,27,50,68,50,45,32,9esque_test,91235,0.0001,1000,8,295.03240725
2,15,19,62,43,38,33,50,22,9esque_test,91236,0.0001,1000,8,204.778593333
3,15,26,61,51,27,42,36,67,9esque_test,91237,0.0001,1000,8,258.208685917
4,16,19,76,65,36,46,28,23,9esque_test,91238,0.0001,1000,8,264.771878208
5,48,64,37,25,53,40,39,21,9esque_test,91239,0.0001,1000,8,229.647782834
6,49,23,36,48,73,31,31,17,9esque_test,91240,0.0001,1000,8,209.432763042
7,52,21,36,40,46,74,72,17,9esque_test,91241,0.0001,1000,8,298.714816167
8,14,30,48,61,65,37,45,36,9esque_test,91242,0.0001,1000,8,229.042415125
9,16,19,36,43,60,44,76,53,9esque_test,91243,0.0001,1000,8,271.919471958
10,25,19,58,60,62,42,35,30,9esque_test,91244,0.0001,1000,8,261.097595667
11,18,23,53,43,49,56,39,26,9esque_test,91245,0.0001,1000,8,231.752283125
12,23,27,78,46,71,63,34,17,9esque_test,91246,0.0001,1000,8,318.401787458
13,16,34,42,21,46,68,38,27,9esque_test,91247,0.0001,1000,8,252.188595292
14,15,31,27,54,37,50,41,23,9esque_test,91248,0.0001,1000,8,212.94044775
15,30,23,77,82,71,56,48,17,9esque_test,91249,0.0001,1000,8,357.714129292
16,57,18,31,42,46,53,32,29,9esque_test,91250,0.0001,1000,8,206.1274375
17,15,29,32,65,54,34,59,40,9esque_test,91251,0.0001,1000,8,248.402166959
18,34,23,44,55,40,68,55,19,9esque_test,91252,0.0001,1000,8,287.984936583
19,44,66,39,50,38,72,34,19,9esque_test,91253,0.0001,1000,8,232.439766708
20,18,41,24,53,51,38,61,30,9esque_test,91254,0.0001,1000,8,261.921648333
21,15,18,31,62,86,38,48,27,9esque_test,91255,0.0001,1000,8,281.509887917
22,16,38,19,51,63,32,39,22,9esque_test,91256,0.0001,1000,8,227.730994584
23,14,18,46,70,55,45,23,31,9esque_test,91257,0.0001,1000,8,239.600684875
24,20,26,41,34,59,60,46,32,9esque_test,91258,0.0001,1000,8,222.519360417
25,16,22,48,71,51,26,40,27,9esque_test,91259,0.0001,1000,8,237.183288375
26,19,24,46,37,42,65,45,28,9esque_test,91260,0.0001,1000,8,201.760609875
27,26,29,64,22,67,44,37,29,9esque_test,91261,0.0001,1000,8,248.028834875
28,26,32,68,92,50,57,43,19,9esque_test,91262,0.0001,1000,8,281.677177084
29,38,50,45,33,28,61,53,32,9esque_test,91263,0.0001,1000,8,201.519453167
30,16,20,99,37,44,68,47,27,9esque_test,91264,0.0001,1000,8,236.283963958
31,16,18,39,43,50,57,35,22,9esque_test,91265,0.0001,1000,8,169.902104958
32,23,17,37,43,67,53,46,28,9esque_test,91266,0.0001,1000,8,218.479660459
33,39,22,42,57,38,54,49,17,9esque_test,91267,0.0001,1000,8,193.183635208
34,29,20,41,28,39,52,56,62,9esque_test,91268,0.0001,1000,8,189.643393041
35,39,22,25,67,54,68,71,36,9esque_test,91269,0.0001,1000,8,220.940842291
36,23,38,69,44,43,67,57,17,9esque_test,91270,0.0001,1000,8,222.014234667
37,14,41,52,58,68,39,44,23,9esque_test,91271,0.0001,1000,8,244.645909666
38,38,21,43,50,85,52,62,17,9esque_test,91272,0.0001,1000,8,283.996330583
39,27,70,31,61,78,55,69,19,9esque_test,91273,0.0001,1000,8,320.974692167
40,16,20,38,60,70,36,47,26,9esque_test,91274,0.0001,1000,8,217.955348958
41,22,26,47,45,60,53,50,17,9esque_test,91275,0.0001,1000,8,211.865401667
42,18,22,51,34,77,60,57,34,9esque_test,91276,0.0001,1000,8,225.791411917
43,14,29,33,69,43,55,39,33,9esque_test,91277,0.0001,1000,8,179.467542041
44,36,27,67,22,52,38,54,29,9esque_test,91278,0.0001,1000,8,223.302986666
45,16,26,80,39,73,32,35,20,9esque_test,91279,0.0001,1000,8,190.456797083
46,15,25,50,65,64,57,50,42,9esque_test,91280,0.0001,1000,8,232.1198025
47,15,19,50,59,33,39,31,29,9esque_test,91281,0.0001,1000,8,170.928948625
48,16,30,46,54,48,64,24,25,9esque_test,91282,0.0001,1000,8,202.95904225
49,23,34,40,53,65,51,43,17,9esque_test,91283,0.0001,1000,8,203.178757916
50,28,23,42,49,57,50,37,17,9esque_test,91284,0.0001,1000,8,198.887001792
